T2M,PRECTOTCORR,latitude,longitude,date
-4.28,0.0,42.077951,-91.597674,2018-04-01
-0.39,0.12,42.077951,-91.597674,2018-04-02
0.25,1.8,42.077951,-91.597674,2018-04-03
-2.85,0.0,42.077951,-91.597674,2018-04-04
1.13,0.01,42.077951,-91.597674,2018-04-05
-2.9,0.0,42.077951,-91.597674,2018-04-06
-3.53,0.0,42.077951,-91.597674,2018-04-07
-1.76,4.39,42.077951,-91.597674,2018-04-08
-0.74,0.54,42.077951,-91.597674,2018-04-09
1.83,0.0,42.077951,-91.597674,2018-04-10
7.79,0.23,42.077951,-91.597674,2018-04-11
12.1,0.07,42.077951,-91.597674,2018-04-12
8.2,3.16,42.077951,-91.597674,2018-04-13
1.91,5.77,42.077951,-91.597674,2018-04-14
-1.63,2.62,42.077951,-91.597674,2018-04-15
-1.83,0.06,42.077951,-91.597674,2018-04-16
1.35,0.0,42.077951,-91.597674,2018-04-17
0.23,4.66,42.077951,-91.597674,2018-04-18
3.68,0.01,42.077951,-91.597674,2018-04-19
6.66,0.0,42.077951,-91.597674,2018-04-20
7.89,0.0,42.077951,-91.597674,2018-04-21
9.96,0.0,42.077951,-91.597674,2018-04-22
11.66,0.0,42.077951,-91.597674,2018-04-23
14.3,0.0,42.077951,-91.597674,2018-04-24
10.85,0.0,42.077951,-91.597674,2018-04-25
11.86,0.0,42.077951,-91.597674,2018-04-26
11.16,0.0,42.077951,-91.597674,2018-04-27
7.36,0.0,42.077951,-91.597674,2018-04-28
9.54,0.0,42.077951,-91.597674,2018-04-29
16.93,0.0,42.077951,-91.597674,2018-04-30
19.48,4.62,42.077951,-91.597674,2018-05-01
20.24,16.65,42.077951,-91.597674,2018-05-02
18.06,13.84,42.077951,-91.597674,2018-05-03
17.48,0.46,42.077951,-91.597674,2018-05-04
18.06,0.0,42.077951,-91.597674,2018-05-05
18.11,0.02,42.077951,-91.597674,2018-05-06
17.61,0.01,42.077951,-91.597674,2018-05-07
19.39,1.25,42.077951,-91.597674,2018-05-08
19.21,0.35,42.077951,-91.597674,2018-05-09
17.02,0.31,42.077951,-91.597674,2018-05-10
12.18,6.51,42.077951,-91.597674,2018-05-11
10.7,5.32,42.077951,-91.597674,2018-05-12
14.99,2.53,42.077951,-91.597674,2018-05-13
20.11,8.38,42.077951,-91.597674,2018-05-14
20.19,0.59,42.077951,-91.597674,2018-05-15
20.58,0.06,42.077951,-91.597674,2018-05-16
21.76,0.0,42.077951,-91.597674,2018-05-17
18.58,0.0,42.077951,-91.597674,2018-05-18
20.29,4.57,42.077951,-91.597674,2018-05-19
16.17,5.99,42.077951,-91.597674,2018-05-20
16.56,14.19,42.077951,-91.597674,2018-05-21
19.97,0.11,42.077951,-91.597674,2018-05-22
21.51,0.64,42.077951,-91.597674,2018-05-23
23.81,0.01,42.077951,-91.597674,2018-05-24
23.05,9.15,42.077951,-91.597674,2018-05-25
25.82,2.97,42.077951,-91.597674,2018-05-26
27.52,0.01,42.077951,-91.597674,2018-05-27
27.67,0.03,42.077951,-91.597674,2018-05-28
24.61,4.56,42.077951,-91.597674,2018-05-29
24.03,4.01,42.077951,-91.597674,2018-05-30
25.27,0.04,42.077951,-91.597674,2018-05-31
25.9,0.19,42.077951,-91.597674,2018-06-01
20.15,2.07,42.077951,-91.597674,2018-06-02
18.72,0.0,42.077951,-91.597674,2018-06-03
20.28,0.0,42.077951,-91.597674,2018-06-04
24.52,0.01,42.077951,-91.597674,2018-06-05
23.85,4.91,42.077951,-91.597674,2018-06-06
24.04,4.16,42.077951,-91.597674,2018-06-07
21.86,2.06,42.077951,-91.597674,2018-06-08
24.66,26.8,42.077951,-91.597674,2018-06-09
22.71,4.65,42.077951,-91.597674,2018-06-10
21.35,1.82,42.077951,-91.597674,2018-06-11
24.68,0.57,42.077951,-91.597674,2018-06-12
22.11,0.02,42.077951,-91.597674,2018-06-13
22.36,17.6,42.077951,-91.597674,2018-06-14
26.08,1.13,42.077951,-91.597674,2018-06-15
27.56,0.0,42.077951,-91.597674,2018-06-16
28.47,0.08,42.077951,-91.597674,2018-06-17
28.25,15.95,42.077951,-91.597674,2018-06-18
25.13,10.8,42.077951,-91.597674,2018-06-19
23.62,23.04,42.077951,-91.597674,2018-06-20
21.15,13.53,42.077951,-91.597674,2018-06-21
18.72,0.23,42.077951,-91.597674,2018-06-22
21.09,0.03,42.077951,-91.597674,2018-06-23
22.44,0.71,42.077951,-91.597674,2018-06-24
22.06,11.43,42.077951,-91.597674,2018-06-25
22.24,4.38,42.077951,-91.597674,2018-06-26
23.51,0.05,42.077951,-91.597674,2018-06-27
24.71,0.33,42.077951,-91.597674,2018-06-28
27.66,0.15,42.077951,-91.597674,2018-06-29
28.16,17.25,42.077951,-91.597674,2018-06-30
24.37,13.44,42.077951,-91.597674,2018-07-01
22.89,0.0,42.077951,-91.597674,2018-07-02
25.1,0.0,42.077951,-91.597674,2018-07-03
27.59,4.23,42.077951,-91.597674,2018-07-04
24.95,0.86,42.077951,-91.597674,2018-07-05
22.08,0.0,42.077951,-91.597674,2018-07-06
20.91,0.0,42.077951,-91.597674,2018-07-07
22.03,0.0,42.077951,-91.597674,2018-07-08
25.3,0.0,42.077951,-91.597674,2018-07-09
26.62,0.0,42.077951,-91.597674,2018-07-10
26.7,0.0,42.077951,-91.597674,2018-07-11
28.09,0.0,42.077951,-91.597674,2018-07-12
28.46,10.03,42.077951,-91.597674,2018-07-13
25.89,7.36,42.077951,-91.597674,2018-07-14
26.67,1.1,42.077951,-91.597674,2018-07-15
24.35,0.42,42.077951,-91.597674,2018-07-16
24.59,0.0,42.077951,-91.597674,2018-07-17
24.38,1.71,42.077951,-91.597674,2018-07-18
21.25,38.12,42.077951,-91.597674,2018-07-19
21.6,0.71,42.077951,-91.597674,2018-07-20
22.4,0.02,42.077951,-91.597674,2018-07-21
21.75,0.0,42.077951,-91.597674,2018-07-22
23.33,0.05,42.077951,-91.597674,2018-07-23
23.29,0.06,42.077951,-91.597674,2018-07-24
23.36,3.01,42.077951,-91.597674,2018-07-25
20.57,0.85,42.077951,-91.597674,2018-07-26
19.31,0.0,42.077951,-91.597674,2018-07-27
21.5,0.0,42.077951,-91.597674,2018-07-28
21.73,0.2,42.077951,-91.597674,2018-07-29
21.62,1.11,42.077951,-91.597674,2018-07-30
22.6,1.38,42.077951,-91.597674,2018-07-31
23.75,1.07,42.077951,-91.597674,2018-08-01
21.35,0.08,42.077951,-91.597674,2018-08-02
25.25,0.0,42.077951,-91.597674,2018-08-03
26.64,1.12,42.077951,-91.597674,2018-08-04
27.5,20.72,42.077951,-91.597674,2018-08-05
23.76,26.33,42.077951,-91.597674,2018-08-06
21.65,12.66,42.077951,-91.597674,2018-08-07
22.53,0.32,42.077951,-91.597674,2018-08-08
24.84,0.34,42.077951,-91.597674,2018-08-09
23.9,0.31,42.077951,-91.597674,2018-08-10
24.34,0.0,42.077951,-91.597674,2018-08-11
25.42,0.0,42.077951,-91.597674,2018-08-12
25.38,0.0,42.077951,-91.597674,2018-08-13
23.84,1.23,42.077951,-91.597674,2018-08-14
24.14,7.67,42.077951,-91.597674,2018-08-15
23.98,5.09,42.077951,-91.597674,2018-08-16
23.62,1.64,42.077951,-91.597674,2018-08-17
23.86,0.01,42.077951,-91.597674,2018-08-18
23.97,1.65,42.077951,-91.597674,2018-08-19
22.61,28.77,42.077951,-91.597674,2018-08-20
19.5,0.13,42.077951,-91.597674,2018-08-21
18.71,0.0,42.077951,-91.597674,2018-08-22
20.79,0.09,42.077951,-91.597674,2018-08-23
20.69,12.45,42.077951,-91.597674,2018-08-24
24.37,0.31,42.077951,-91.597674,2018-08-25
24.58,3.98,42.077951,-91.597674,2018-08-26
26.77,1.93,42.077951,-91.597674,2018-08-27
26.02,24.72,42.077951,-91.597674,2018-08-28
18.08,2.28,42.077951,-91.597674,2018-08-29
19.6,0.0,42.077951,-91.597674,2018-08-30
22.9,2.35,42.077951,-91.597674,2018-08-31
24.19,74.79,42.077951,-91.597674,2018-09-01
24.46,16.44,42.077951,-91.597674,2018-09-02
23.41,37.73,42.077951,-91.597674,2018-09-03
25.18,4.2,42.077951,-91.597674,2018-09-04
21.74,32.91,42.077951,-91.597674,2018-09-05
19.01,0.74,42.077951,-91.597674,2018-09-06
16.67,1.81,42.077951,-91.597674,2018-09-07
15.69,0.0,42.077951,-91.597674,2018-09-08
15.42,0.0,42.077951,-91.597674,2018-09-09
16.25,0.0,42.077951,-91.597674,2018-09-10
17.99,0.0,42.077951,-91.597674,2018-09-11
19.55,0.0,42.077951,-91.597674,2018-09-12
20.56,0.0,42.077951,-91.597674,2018-09-13
23.22,0.0,42.077951,-91.597674,2018-09-14
24.25,0.0,42.077951,-91.597674,2018-09-15
22.41,0.23,42.077951,-91.597674,2018-09-16
24.06,0.16,42.077951,-91.597674,2018-09-17
22.63,16.33,42.077951,-91.597674,2018-09-18
22.99,26.72,42.077951,-91.597674,2018-09-19
25.45,10.65,42.077951,-91.597674,2018-09-20
15.4,2.53,42.077951,-91.597674,2018-09-21
12.38,0.0,42.077951,-91.597674,2018-09-22
14.59,0.0,42.077951,-91.597674,2018-09-23
17.18,0.0,42.077951,-91.597674,2018-09-24
16.03,18.47,42.077951,-91.597674,2018-09-25
11.71,0.02,42.077951,-91.597674,2018-09-26
12.99,0.01,42.077951,-91.597674,2018-09-27
9.44,0.47,42.077951,-91.597674,2018-09-28
7.8,3.08,42.077951,-91.597674,2018-09-29
11.07,7.89,42.077951,-91.597674,2018-09-30
