T2M,PRECTOTCORR,latitude,longitude,date
-3.67,4.68,40.647588,-91.477157,2018-04-01
-0.33,0.61,40.647588,-91.477157,2018-04-02
2.58,2.55,40.647588,-91.477157,2018-04-03
-1.53,0.0,40.647588,-91.477157,2018-04-04
5.17,0.05,40.647588,-91.477157,2018-04-05
-0.58,0.0,40.647588,-91.477157,2018-04-06
-2.01,0.0,40.647588,-91.477157,2018-04-07
-0.91,4.5,40.647588,-91.477157,2018-04-08
0.29,0.42,40.647588,-91.477157,2018-04-09
3.1,0.0,40.647588,-91.477157,2018-04-10
12.6,0.0,40.647588,-91.477157,2018-04-11
18.21,0.0,40.647588,-91.477157,2018-04-12
18.65,2.49,40.647588,-91.477157,2018-04-13
10.74,5.14,40.647588,-91.477157,2018-04-14
1.25,1.66,40.647588,-91.477157,2018-04-15
-0.18,0.07,40.647588,-91.477157,2018-04-16
4.0,0.0,40.647588,-91.477157,2018-04-17
1.91,0.4,40.647588,-91.477157,2018-04-18
5.03,0.0,40.647588,-91.477157,2018-04-19
7.65,0.0,40.647588,-91.477157,2018-04-20
9.33,0.0,40.647588,-91.477157,2018-04-21
10.31,0.0,40.647588,-91.477157,2018-04-22
11.54,0.08,40.647588,-91.477157,2018-04-23
14.62,0.0,40.647588,-91.477157,2018-04-24
12.4,0.0,40.647588,-91.477157,2018-04-25
13.21,0.02,40.647588,-91.477157,2018-04-26
13.14,0.0,40.647588,-91.477157,2018-04-27
9.28,0.0,40.647588,-91.477157,2018-04-28
10.16,0.0,40.647588,-91.477157,2018-04-29
16.77,0.0,40.647588,-91.477157,2018-04-30
20.32,1.56,40.647588,-91.477157,2018-05-01
21.77,6.91,40.647588,-91.477157,2018-05-02
21.34,9.98,40.647588,-91.477157,2018-05-03
18.97,0.58,40.647588,-91.477157,2018-05-04
19.19,0.38,40.647588,-91.477157,2018-05-05
19.85,0.38,40.647588,-91.477157,2018-05-06
17.97,0.07,40.647588,-91.477157,2018-05-07
19.38,2.35,40.647588,-91.477157,2018-05-08
21.91,6.25,40.647588,-91.477157,2018-05-09
21.12,0.0,40.647588,-91.477157,2018-05-10
22.14,1.09,40.647588,-91.477157,2018-05-11
19.69,4.81,40.647588,-91.477157,2018-05-12
21.95,1.04,40.647588,-91.477157,2018-05-13
23.62,2.55,40.647588,-91.477157,2018-05-14
